token|nan|ts|endTs|punctuation|case|tags|wer_tags
Hello|nan||||UC|[]|[]
gentlemen|nan|||,|LC|[]|[]
gent-|nan||||LC|['1230:FALLBACK']|[]
ladies|nan||||LC|[]|[]
and|nan||||LC|[]|[]
gentlemen|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
welcome|nan||||LC|[]|[]
to|nan||||LC|[]|[]
Cementos|nan||||UC|[]|['2000']
Argos|nan|||,|UC|[]|['2000']
first|nan||||LC|[]|['3']
quarter's|nan||||LC|[]|['3']
2020|nan||||CA|['0:YEAR']|['0', '1', '4']
earnings|nan||||LC|[]|[]
conference|nan||||LC|[]|[]
call|nan|||,|LC|[]|[]
with|nan||||LC|[]|[]
your|nan||||LC|[]|[]
host|nan|||,|LC|[]|[]
Indira|nan||||UC|[]|['5']
Diaz|nan|||.|UC|[]|['5']
Good|nan||||UC|[]|[]
morning|nan|||.|LC|[]|['13']
My|nan||||UC|[]|[]
name|nan||||LC|[]|[]
is|nan||||LC|[]|[]
Indira|nan||||UC|[]|['14']
Diaz|nan|||,|UC|[]|['14']
Cementos|nan||||UC|[]|['2001']
Argos|nan||||UC|[]|['2001']
IRO|nan|||,|CA|['7:ABBREVIATION']|['7']
and|nan||||LC|[]|[]
I|nan||||CA|[]|[]
welcome|nan||||LC|[]|[]
you|nan||||LC|[]|[]
to|nan||||LC|[]|[]
our|nan||||LC|[]|['16']
first|nan||||LC|[]|['16']
quarter|nan||||LC|[]|['16']
results|nan||||LC|[]|[]
release|nan|||.|LC|[]|[]
On|nan||||UC|[]|[]
the|nan||||LC|[]|[]
call|nan||||LC|[]|[]
today|nan||||LC|[]|['17']
we|nan||||LC|[]|[]
have|nan||||LC|[]|[]
Juan|nan||||UC|[]|['18']
Esteban|nan||||UC|[]|['18']
Calle|nan|||,|UC|[]|['18']
our|nan||||LC|[]|[]
CEO|nan|||.|CA|['8:ABBREVIATION']|['8']
Carlos|nan||||UC|[]|['19']
Yusty|nan|||,|UC|[]|['19']
our|nan||||LC|[]|[]
CFO|nan|||.|CA|['9:ABBREVIATION']|['9']
Maria|nan||||UC|[]|['21']
Isabel|nan||||UC|[]|['21']
Echeverri|nan|||,|UC|[]|['21']
VP|nan||||CA|[]|['2002']
of|nan||||LC|[]|[]
legal|nan||||LC|[]|[]
affairs|nan|||.|LC|[]|[]
Bill|nan||||UC|[]|['23']
Wagner|nan||||UC|[]|['23']
the|nan||||LC|[]|[]
VP|nan||||CA|[]|['2003']
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
U.S|nan||||LC|['1231:FALLBACK']|['2004', '24']
division|nan|||.|LC|[]|[]
Tomas|nan||||UC|[]|['25']
Restrepo|nan|||,|UC|[]|['25']
the|nan||||LC|[]|[]
VP|nan||||CA|[]|['2005']
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
Colombian|nan||||UC|[]|['27']
division|nan||||LC|[]|[]
and|nan||||LC|[]|[]
Camilo|nan||||UC|[]|['28']
Restrepo|nan||||UC|[]|['28']
the|nan||||LC|[]|[]
V.P|nan||||LC|['1232:FALLBACK']|['2006']
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
Caribbean|nan||||UC|[]|['30']
and|nan||||LC|[]|[]
Central|nan||||UC|[]|['31']
America|nan||||UC|[]|['31']
division|nan|||.|LC|[]|[]
Please|nan||||UC|[]|[]
know|nan||||LC|[]|[]
that|nan||||LC|[]|[]
there|nan||||LC|[]|[]
are|nan||||LC|[]|[]
some|nan||||LC|[]|[]
forward|nan||||LC|[]|[]
looking|nan||||LC|[]|[]
statements|nan||||LC|[]|[]
and|nan||||LC|[]|[]
information|nan||||LC|[]|[]
during|nan||||LC|[]|[]
the|nan||||LC|[]|[]
call|nan|||,|LC|[]|[]
or|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
reports|nan||||LC|[]|[]
and|nan||||LC|[]|[]
presentation|nan||||LC|[]|[]
are|nan||||LC|[]|[]
loaded|nan||||LC|[]|[]
at|nan||||LC|[]|[]
www.argos.co/ir|nan|||,|LC|['6:WEBSITE']|['6']
are|nan||||LC|[]|[]
related|nan||||LC|[]|[]
to|nan||||LC|[]|[]
the|nan||||LC|[]|[]
Cementos|nan||||UC|[]|['2007']
Argos|nan||||UC|[]|['2007']
and|nan||||LC|[]|[]
its|nan||||LC|[]|[]
subsidiaries|nan|||,|LC|[]|[]
which|nan||||LC|[]|[]
are|nan||||LC|[]|[]
based|nan||||LC|[]|[]
on|nan||||LC|[]|[]
the|nan||||LC|[]|[]
knowledge|nan||||LC|[]|[]
of|nan||||LC|[]|[]
coding|nan||||LC|[]|[]
facts|nan|||,|LC|[]|[]
expectations|nan|||,|LC|[]|[]
circumstances|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
assumptions|nan||||LC|[]|[]
of|nan||||LC|[]|[]
future|nan||||LC|[]|[]
events|nan|||.|LC|[]|[]
Other|nan||||LC|[]|[]
factors|nan||||LC|[]|[]
may|nan||||LC|[]|[]
conserve|nan||||LC|[]|[]
this|nan||||LC|[]|[]
future|nan||||LC|[]|[]
results|nan|||,|LC|[]|[]
performance|nan||||LC|[]|[]
or|nan||||LC|[]|[]
accomplishments|nan||||LC|[]|[]
to|nan||||LC|[]|[]
dissect|nan||||LC|[]|[]
from|nan||||LC|[]|[]
those|nan||||LC|[]|[]
express|nan||||LC|[]|[]
hearing|nan|||.|LC|[]|[]
The|nan||||UC|[]|[]
forward-looking|nan||||LC|[]|[]
statements|nan||||LC|[]|[]
are|nan||||LC|[]|[]
made|nan||||LC|[]|[]
to|nan||||LC|[]|[]
date|nan|||,|LC|[]|[]
and|nan||||LC|[]|[]
Argos|nan||||UC|[]|['2008']
shall|nan||||LC|[]|[]
not|nan||||LC|[]|[]
assume|nan||||LC|[]|[]
any|nan||||LC|[]|[]
obligations|nan||||LC|[]|[]
to|nan||||LC|[]|[]
update|nan||||LC|[]|[]
said|nan||||LC|[]|[]
statements|nan||||LC|[]|[]
in|nan||||LC|[]|[]
the|nan||||LC|[]|[]
future|nan||||LC|[]|[]
as|nan||||LC|[]|[]
a|nan||||LC|[]|[]
result|nan||||LC|[]|[]
of|nan||||LC|[]|[]
new|nan||||LC|[]|[]
information|nan|||,|LC|[]|[]
future|nan||||LC|[]|[]
events|nan|||,|LC|[]|[]
or|nan||||LC|[]|[]
any|nan||||LC|[]|[]
other|nan||||LC|[]|[]
factors|nan|||.|LC|[]|[]
Today|nan||||UC|[]|['34']
after|nan||||LC|[]|[]
initial|nan||||LC|[]|[]
remarks|nan|||,|LC|[]|[]
there|nan||||LC|[]|[]
will|nan||||LC|[]|[]
be|nan||||LC|[]|[]
a|nan||||LC|[]|[]
Q|nan||||CA|[]|['2009']
and|nan||||LC|[]|['2009']
A|nan||||CA|[]|['2009']
session|nan|||.|LC|[]|[]
If|nan||||UC|[]|[]
you|nan||||LC|[]|[]
have|nan||||LC|[]|[]
a|nan||||LC|[]|[]
question|nan|||,|LC|[]|[]
please|nan||||LC|[]|[]
press|nan||||LC|[]|[]
the|nan||||LC|[]|[]
star|nan||||LC|[]|[]
key|nan||||LC|[]|[]
on|nan||||LC|[]|[]
your|nan||||LC|[]|[]
telephone|nan||||LC|[]|[]
keypad|nan|||,|LC|[]|[]
followed|nan||||LC|[]|[]
by|nan||||LC|[]|[]
the|nan||||LC|[]|[]
number|nan||||LC|[]|[]
one|nan||||LC|[]|['35']
key|nan||||LC|[]|[]
at|nan||||LC|[]|[]
any|nan||||LC|[]|[]
time|nan||||LC|[]|[]
during|nan||||LC|[]|[]
the|nan||||LC|[]|[]
conference|nan|||.|LC|[]|[]
We|nan||||UC|['10:CONTRACTION']|['10']
will|nan||||LC|['10:CONTRACTION']|['10']
record|nan||||LC|[]|[]
these|nan||||LC|[]|[]
questions|nan||||LC|[]|[]
and|nan||||LC|[]|[]
upload|nan||||LC|[]|[]
them|nan||||LC|['11:CONTRACTION']|['11']
in|nan||||LC|[]|[]
our|nan||||LC|[]|[]
webpage|nan|||.|LC|[]|[]
It|nan||||UC|['12:CONTRACTION']|['12']
is|nan||||LC|['12:CONTRACTION']|['12']
now|nan||||LC|[]|[]
my|nan||||LC|[]|[]
pleasure|nan||||LC|[]|[]
to|nan||||LC|[]|[]
turn|nan||||LC|[]|[]
the|nan||||LC|[]|[]
call|nan||||LC|[]|[]
over|nan||||LC|[]|[]
to|nan||||LC|[]|[]
Mr|nan|||.|UC|[]|['36']
Calle|nan|||.|UC|[]|['36']
Uh|nan|||,|UC|[]|[]
thank|nan||||LC|[]|[]
you|nan||||LC|[]|[]
Indira|nan|||,|UC|[]|['113']
and|nan||||LC|[]|[]
good|nan||||LC|[]|[]
morning|nan||||LC|[]|[]
everyone|nan|||.|LC|[]|[]
Uh|nan|||,|UC|[]|[]
given|nan||||LC|[]|[]
the|nan||||LC|[]|[]
current|nan||||LC|[]|[]
market|nan||||LC|[]|[]
situation|nan|||,|LC|[]|[]
I|nan||||CA|[]|[]
would|nan||||LC|[]|[]
like|nan||||LC|[]|[]
to|nan||||LC|[]|[]
start|nan||||LC|[]|[]
by|nan||||LC|[]|[]
giving|nan||||LC|[]|[]
you|nan||||LC|[]|[]
an|nan||||LC|[]|[]
update|nan||||LC|[]|[]
of|nan||||LC|[]|[]
the|nan||||LC|[]|[]
status|nan||||LC|[]|[]
of|nan||||LC|[]|[]
all|nan||||LC|[]|[]
operations|nan||||LC|[]|[]
today|nan|||.|LC|[]|['114']
The|nan||||UC|[]|[]
U.S|nan||||LC|['1234:FALLBACK']|['115', '2010']
region|nan||||LC|[]|[]
that|nan||||LC|[]|[]
represented|nan||||LC|[]|[]
last|nan||||LC|[]|['116']
year|nan||||LC|[]|['116']
39%|nan||||LC|['41:PERCENT']|['41']
of|nan||||LC|[]|[]
our|nan||||LC|[]|[]
segment|nan||||LC|[]|[]
volumes|nan||||LC|[]|[]
and|nan||||LC|[]|[]
close|nan||||LC|[]|[]
to|nan||||LC|[]|[]
55%|nan||||LC|['42:PERCENT']|['42']
of|nan||||LC|[]|[]
our|nan||||LC|[]|[]
consolidated|nan||||LC|[]|[]
editor|nan|||,|LC|[]|[]
continues|nan||||LC|[]|[]
to|nan||||LC|[]|[]
operate|nan||||LC|[]|[]
under|nan||||LC|[]|[]
